[Fri Aug 16 12:40:38.700353 2019] [php7:notice] [pid 10780:tid 1964] [client 127.0.0.1:54447] PHP Notice:  Undefined variable: photo_id in D:\\Xaamp\\htdocs\\sparkling\\cms\\superAdmin\\photoAdd.php on line 33, referer: http://sunkoshi.gov/cms/superAdmin/photoList.php
[Fri Aug 16 12:51:48.542429 2019] [php7:notice] [pid 10780:tid 1932] [client 127.0.0.1:54668] PHP Notice:  Undefined variable: photo_id in D:\\Xaamp\\htdocs\\sparkling\\cms\\superAdmin\\photoAdd.php on line 33, referer: http://sunkoshi.gov/cms/superAdmin/photoList.php
[Fri Aug 16 12:54:43.027464 2019] [php7:notice] [pid 10780:tid 1964] [client 127.0.0.1:55007] PHP Notice:  Undefined variable: photo_id in D:\\Xaamp\\htdocs\\sparkling\\cms\\superAdmin\\photoAdd.php on line 33, referer: http://sunkoshi.gov/cms/superAdmin/photoList.php
[Fri Aug 16 12:59:13.179346 2019] [php7:notice] [pid 10780:tid 1924] [client 127.0.0.1:55043] PHP Notice:  Undefined variable: photo_id in D:\\Xaamp\\htdocs\\sparkling\\cms\\superAdmin\\photoAdd.php on line 33, referer: http://sunkoshi.gov/cms/superAdmin/photoList.php
[Fri Aug 16 13:04:23.548193 2019] [php7:notice] [pid 10780:tid 1924] [client 127.0.0.1:55116] PHP Notice:  Undefined variable: photo_id in D:\\Xaamp\\htdocs\\sparkling\\cms\\superAdmin\\photoAdd.php on line 33, referer: http://sunkoshi.gov/cms/superAdmin/photoList.php
[Fri Aug 16 13:46:45.397779 2019] [php7:notice] [pid 10780:tid 1964] [client 127.0.0.1:56784] PHP Notice:  Undefined variable: photo_id in D:\\Xaamp\\htdocs\\sparkling\\cms\\superAdmin\\photoAdd.php on line 33, referer: http://sunkoshi.gov/cms/superAdmin/photoList.php
[Fri Aug 16 13:50:52.408280 2019] [php7:notice] [pid 10780:tid 1900] [client 127.0.0.1:56973] PHP Notice:  Undefined variable: photo_id in D:\\Xaamp\\htdocs\\sparkling\\cms\\superAdmin\\photoAdd.php on line 33, referer: http://sunkoshi.gov/cms/superAdmin/photoList.php
[Fri Aug 16 13:55:05.698542 2019] [php7:notice] [pid 10780:tid 1900] [client 127.0.0.1:57072] PHP Notice:  Undefined variable: photo_id in D:\\Xaamp\\htdocs\\sparkling\\cms\\superAdmin\\photoAdd.php on line 33, referer: http://sunkoshi.gov/cms/superAdmin/photoList.php
[Fri Aug 16 13:59:44.665183 2019] [php7:notice] [pid 10780:tid 1964] [client 127.0.0.1:57154] PHP Notice:  Undefined variable: photo_id in D:\\Xaamp\\htdocs\\sparkling\\cms\\superAdmin\\photoAdd.php on line 33, referer: http://sunkoshi.gov/cms/superAdmin/photoList.php
[Fri Aug 16 14:05:06.772265 2019] [php7:notice] [pid 10780:tid 1956] [client 127.0.0.1:57309] PHP Notice:  Undefined index: WardId in D:\\Xaamp\\htdocs\\sparkling\\cms\\render\\common\\plansandpolicies.php on line 10, referer: http://sunkoshi.gov/cms/superAdmin/plansAdd.php
